"Employee wages by industry, annual 1 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 14-10-0064-01 (formerly CANSIM 282-0072),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2025-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography 3,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wages 4,Average hourly wage rate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of work,Both full- and part-time employees,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender 5 6,Total - Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age group,15 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,
North American Industry Classification System (NAICS) 7,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,Current dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total employees, all industries 8",15.59,15.78,16.17,16.66,17.22,17.66,18.05,18.5,19.09,20.16,20.99,21.85,22.63,23.09,23.6,24.21,24.75,25.18,25.87,26.4,26.81,27.56,28.32,30.04,30.69,31.97,33.56,35.2
Goods-producing sector 9,16.61,16.85,17.17,17.8,18.39,18.87,19.31,19.73,20.29,21.57,22.52,23.64,24.57,25.11,25.41,26.16,26.79,27.56,28.09,28.45,28.79,29.4,30.28,31.43,31.91,33.44,35.5,37
Agriculture 10,9.98,10.43,10.53,10.45,11.01,11.08,11.63,11.83,12.14,12.59,12.83,13.92,13.95,14.54,14.8,15.8,15.39,16.18,17.06,17.18,17.75,19,19.85,20.54,20.82,21.76,23.71,25.04
"Forestry, fishing, mining, quarrying, oil and gas 11 12",19.13,19.56,20.49,20.78,21.3,22.79,22.67,23.25,24.38,27.11,29.23,31.21,32.4,33.28,34.3,36.68,37.74,38.95,39.53,40.9,41.59,41.35,41.41,42.77,44.15,44.3,47.32,50.09
